2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for mimun5649.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for PS-DB-TrL75.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for mimun2240.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for mimun2239.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for MIMUN5960.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for mimun2242.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for mimun2350.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for MIMUN5951.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for MIMUN5737.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for mimun5868.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for mimun5902.Mimuny.local
